,,,,,,,,,,,,,,,,,,
Code,Label,2021,2016,2011,2006,2000,1990,1980,1950,1940,1930,1920,1910,1900,1880,1870,1860,1850
,,acs,acs,acs,acs,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1%+
0,Not in identifiable city (or size group),X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
1,"Aberdeen, SD",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
2,"Aberdeen, WA",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
3,"Abilene, TX",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
4,"Ada, OK",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
5,"Adams, MA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
6,"Adrian, MI",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
7,"Abington, PA",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
10,"Akron, OH",X,X,X,X,·,X,X,X,X,X,X,X,X,X,X,·,·
30,"Alameda, CA",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
50,"Albany, NY",X,X,X,X,·,X,X,X,X,X,X,X,X,X,X,X,X
51,"Albany, GA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
52,"Albert Lea, MN",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
70,"Albuquerque, NM",·,·,·,·,·,·,X,X,X,X,·,X,·,·,·,·,·
90,"Alexandria, VA",X,X,X,X,·,X,X,·,·,X,·,X,X,X,X,X,·
91,"Alexandria, LA",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
100,"Alhambra, CA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
110,"Allegheny, PA",·,·,·,·,·,·,·,·,·,·,·,·,X,X,X,X,X
120,"Aliquippa, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
130,"Allentown, PA",X,X,X,X,·,X,·,X,X,X,X,X,X,X,X,·,·
131,"Alliance, OH",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
132,"Alpena, MI",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
140,"Alton, IL",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
150,"Altoona, PA",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,·,·
160,"Amarillo, TX",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
Code,Label,2021,2016,2011,2006,2000,1990,1980,1950,1940,1930,1920,1910,1900,1880,1870,1860,1850
,,acs,acs,acs,acs,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1%+
161,"Ambridge, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
162,"Ames, IA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
163,"Amesbury, MA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
170,"Amsterdam, NY",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
171,"Anaconda, MT",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
190,"Anaheim, CA",·,·,X,X,·,X,X,·,·,X,·,·,·,·,·,·,·
210,"Anchorage, AK",X,X,X,X,·,X,X,·,·,X,·,·,·,·,·,·,·
230,"Anderson, IN",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
231,"Anderson, SC",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
250,"Andover, MA",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
270,"Ann Arbor, MI",X,X,X,X,·,X,X,·,·,X,·,X,X,·,·,·,·
271,"Annapolis, MD",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
272,"Anniston, AL",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
273,"Ansonia, CT",·,·,·,·,·,·,·,·,·,X,·,X,X,X,·,·,·
275,"Antioch, CA",X,X,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
280,"Appleton, WI",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
281,"Ardmore, OK",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
282,"Argenta, AR",·,·,·,·,·,·,·,·,·,·,·,X,·,·,·,·,·
283,"Arkansas, KS",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
284,"Arden-Arcade, CA",·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
290,"Arlington, TX",·,·,X,X,·,X,X,·,·,·,·,·,·,·,·,·,·
310,"Arlington, VA",X,X,X,X,·,X,X,·,·,·,·,·,·,·,·,·,·
311,"Arlington, MA",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
312,"Arnold, PA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
313,"Asbury Park, NJ",·,·,·,·,·,·,·,·,·,X,·,X,·,·,·,·,·
Code,Label,2021,2016,2011,2006,2000,1990,1980,1950,1940,1930,1920,1910,1900,1880,1870,1860,1850
,,acs,acs,acs,acs,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1pct,1%+
330,"Asheville, NC",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
331,"Ashland, OH",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
340,"Ashland, KY",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
341,"Ashland, WI",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
342,"Ashtabula, OH",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
343,"Astoria, OR",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
344,"Atchison, KS",·,·,·,·,·,·,·,·,·,X,·,X,X,X,·,·,·
345,"Athens, GA",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
346,"Athol, MA",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
347,"Athens-Clarke County, GA",X,X,·,·,·,·,·,·,·,·,·,·,·,·,·,·,·
350,"Atlanta, GA",·,·,·,·,·,X,X,X,X,X,X,X,X,X,X,·,·
370,"Atlantic City, NJ",·,·,·,·,·,·,·,·,·,X,X,X,X,·,·,·,·
371,"Attleboro, MA",·,·,·,·,·,·,·,·,·,X,·,X,X,X,·,·,·
390,"Auburn, NY",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,X,·
391,"Auburn, ME",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
410,"Augusta, GA",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,X,·
411,"Augusta-Richmond County, GA",X,X,X,X,·,·,·,·,·,·,·,·,·,·,·,·,·
430,"Augusta, ME",·,·,·,·,·,·,·,·,·,X,·,X,X,·,·,·,·
450,"Aurora, CO",·,·,·,·,·,X,X,·,·,·,·,·,·,·,·,·,·
470,"Aurora, IL",·,·,·,·,·,·,·,·,·,X,X,X,X,X,X,·,·
490,"Austin, TX",·,·,X,X,·,X,X,X,X,X,X,X,X,X,·,·,·
491,"Austin, MN",·,·,·,·,·,·,·,·,·,X,·,·,·,·,·,·,·
510,"Bakersfield, CA",·,·,X,X,·,X,X,·,·,X,·,X,·,·,·,·,·
530,"Baltimore, MD",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
