United States Region Division State Metropolitan Area,All persons,White,Black,"American Indian, Eskimo, or Aleut",Asian or Pacific Islander,Other race,Hispanic origin (of any race)
"Abilene, TX MSA ---------------------------------",119655,100237,7547,450,1449,9972,17511
Inside central city ------------------------------------,105857,87120,7472,405,1397,9463,16526
"Abilene city, TX (pt.) --------------------------------",105857,87120,7472,405,1397,9463,16526
Outside central city-----------------------------------,13798,13117,75,45,52,509,985
"Taylor County, TX------------------------------------",119655,100237,7547,450,1449,9972,17511
"Albany, GA MSA ---------------------------------",112561,60041,51522,281,498,219,928
Inside central city ------------------------------------,78122,34544,42962,155,335,126,647
"Albany city, GA ------------------------------------",78122,34544,42962,155,335,126,647
Outside central city-----------------------------------,34439,25497,8560,126,163,93,281
"Dougherty County, GA --------------------------------",96311,47034,48387,250,452,188,816
"Lee County, GA  -------------------------------------",16250,13007,3135,31,46,31,112
"Albany-Schenectady-Troy, NY MSA ---------------",861424,804808,39370,1496,10710,5040,14856
Inside central city ------------------------------------,245918,206230,31517,632,4845,2694,6411
"Albany city, NY ------------------------------------",101082,76323,20869,277,2326,1287,3183
"Saratoga Springs city, NY ----------------------------",25001,23870,819,41,185,86,344
"Schenectady city, NY --------------------------------",65566,58093,5697,191,696,889,1761
"Troy city, NY --------------------------------------",54269,47944,4132,123,1638,432,1123
Outside central city-----------------------------------,615506,598578,7853,864,5865,2346,8445
"Albany County, NY -----------------------------------",292594,260596,24702,531,4974,1791,5311
"Montgomery County, NY-------------------------------",51981,50173,444,94,217,1053,2703
"Rensselaer County, NY --------------------------------",154429,146197,5170,277,2204,581,1864
"Saratoga County, NY ---------------------------------",181276,176903,2278,264,1388,443,1951
"Schenectady County, NY -------------------------------",149285,139843,6348,261,1822,1011,2489
"Schoharie County, NY ---------------------------------",31859,31096,428,69,105,161,538
"Albuquerque, NM MSA  ---------------------------",589131,447922,14638,30116,8089,88366,218415
Inside central city ------------------------------------,384736,301010,11484,11708,6660,53874,132706
"Albuquerque city, NM  -------------------------------",384736,301010,11484,11708,6660,53874,132706
Outside central city-----------------------------------,204395,146912,3154,18408,1429,34492,85709
"Bernalillo County, NM ---------------------------------",480577,369445,13199,16296,7386,74251,178310
"Sandoval County, NM ---------------------------------",63319,43440,939,12491,503,5946,17372
"Valencia County, NM  ---------------------------------",45235,35037,500,1329,200,8169,22733
"Alexandria, LA MSA ------------------------------",131556,92989,36805,564,908,290,1526
Inside central city ------------------------------------,49188,24416,24243,91,342,96,506
"Alexandria city, LA  ---------------------------------",49188,24416,24243,91,342,96,506
Outside central city-----------------------------------,82368,68573,12562,473,566,194,1020
"Rapides Parish, LA  -----------------------------------",131556,92989,36805,564,908,290,1526
"Allentown-Bethlehem-Easton, PA MSA ------------",595081,560862,12164,574,6546,14935,27101
Inside central city ------------------------------------,176518,153097,7310,245,2642,13224,21574
"Allentown city, PA ----------------------------------",105090,90557,5230,186,1414,7703,12274
"Bethlehem city, PA----------------------------------",71428,62540,2080,59,1228,5521,9300
Outside central city-----------------------------------,418563,407765,4854,329,3904,1711,5527
"Carbon County, PA -----------------------------------",56846,56403,119,45,176,103,509
"Lehigh County, PA------------------------------------",291130,271674,6776,320,3661,8699,15001
"Northampton County, PA  ------------------------------",247105,232785,5269,209,2709,6133,11591
"Altoona, PA MSA---------------------------------",130542,128840,1073,118,380,131,431
Inside central city ------------------------------------,51881,50821,793,55,142,70,194
"Altoona city, PA  -----------------------------------",51881,50821,793,55,142,70,194
Outside central city-----------------------------------,78661,78019,280,63,238,61,237
"Blair County, PA -------------------------------------",130542,128840,1073,118,380,131,431
"Amarillo, TX MSA --------------------------------",187547,158517,9788,1355,3216,14671,25390
Inside central city ------------------------------------,157615,130358,9441,1187,2960,13669,23231
"Amarillo city, TX -----------------------------------",157615,130358,9441,1187,2960,13669,23231
Outside central city-----------------------------------,29932,28159,347,168,256,1002,2159
"Potter County, TX ------------------------------------",97874,73884,8673,901,2570,11846,19246
"Randall County, TX -----------------------------------",89673,84633,1115,454,646,2825,6144
"Anchorage, AK MSA  -----------------------------",226338,182736,14544,14569,10910,3579,9258
Inside central city ------------------------------------,226338,182736,14544,14569,10910,3579,9258
"Anchorage city, AK ---------------------------------",226338,182736,14544,14569,10910,3579,9258
Outside central city-----------------------------------,-,-,-,-,-,-,-
"Anchorage Borough, AK -------------------------------",226338,182736,14544,14569,10910,3579,9258
"Anniston, AL MSA--------------------------------",116034,92873,21578,296,869,418,1282
Inside central city ------------------------------------,26623,14509,11801,49,181,83,212
"Anniston city, AL -----------------------------------",26623,14509,11801,49,181,83,212
Outside central city-----------------------------------,89411,78364,9777,247,688,335,1070
"Calhoun County, AL  ----------------------------------",116034,92873,21578,296,869,418,1282
"Appleton-Oshkosh-Neenah, WI MSA  --------------",315121,306775,932,2796,3805,813,2280
Inside central city ------------------------------------,143920,139162,643,671,3001,443,1271
"Appleton city, WI-----------------------------------",65695,63458,163,279,1582,213,577
"Neenah city, WI ------------------------------------",23219,22759,45,119,218,78,238
"Oshkosh city, WI -----------------------------------",55006,52945,435,273,1201,152,456
Outside central city-----------------------------------,171201,167613,289,2125,804,370,1009
"Calumet County, WI ----------------------------------",34291,33910,29,146,173,33,149
"Outagamie County, WI --------------------------------",140510,136043,206,1965,1904,392,987
"Winnebago County, WI --------------------------------",140320,136822,697,685,1728,388,1144
"Asheville, NC MSA -------------------------------",191774,175723,14472,505,797,277,1259
Inside central city ------------------------------------,61607,48726,12207,165,374,135,533
"Asheville city, NC-----------------------------------",61607,48726,12207,165,374,135,533
Outside central city-----------------------------------,130167,126997,2265,340,423,142,726
"Buncombe County, NC---------------------------------",174821,158979,14336,486,765,255,1173
"Madison County, NC ----------------------------------",16953,16744,136,19,32,22,86
"Athens, GA MSA ---------------------------------",126262,97134,26099,197,2297,535,1851
Inside central city ------------------------------------,45734,30354,13547,60,1528,245,736
"Athens city, GA ------------------------------------",45734,30354,13547,60,1528,245,736
Outside central city-----------------------------------,80528,66780,12552,137,769,290,1115
"Clarke County, GA  -----------------------------------",87594,61929,22935,134,2155,441,1491
"Madison County, GA----------------------------------",21050,19051,1849,30,54,66,182
"Oconee County, GA-----------------------------------",17618,16154,1315,33,88,28,178
"Atlanta, GA MSA ---------------------------------",2959950,2134425,747219,5804,51829,20673,58215
Inside central city ------------------------------------,394017,122327,264262,563,3498,3367,7525
"Atlanta city, GA------------------------------------",394017,122327,264262,563,3498,3367,7525
Outside central city-----------------------------------,2565933,2012098,482957,5241,48331,17306,50690
"Barrow County, GA-----------------------------------",29721,25962,3354,67,228,110,253
"Bartow County, GA-----------------------------------",55911,50413,5026,125,143,204,521
"Carroll County, GA -----------------------------------",71422,59646,11231,149,230,166,592
"Cherokee County, GA ---------------------------------",90204,87690,1693,251,309,261,1059
"Clayton County, GA  ----------------------------------",182052,131729,43403,456,5046,1418,3746
"Cobb County, GA ------------------------------------",447745,391959,44154,957,7918,2757,9403
