msa_name,cc_emp,cc_man
"Akron, OH",110162,53335
"Albany, NY",58326,9480
"Albuquerque, NM",,
"Allentown, PA",46601,19852
"Altoona, PA",,
"Amarillo, TX",,
"Asheville, NC",,
"Atlanta, GA",146277,24619
"Atlantic City, NJ",,
"Augusta, GA",,
"Austin, TX",49155,3253
"Baltimore, MD",391487,113618
"Baton Rouge, LA",46843,11087
"Beaumont, TX",,
"Binghamton, NY",,
"Birmingham, AL",127355,31956
"Boston, MA",311816,73831
"Buffalo, NY",232522,86819
"Canton, OH",48652,22834
"Cedar Rapids, IA",,
"Charleston, SC",,
"Charleston, WV",,
"Charlotte, NC",61215,12883
"Chattanooga, TN",53398,17547
"Chicago, IL",1614867,593086
"Cincinnati, OH",201825,63659
"Cleveland, OH",390471,165448
"Columbia, SC",,
"Columbus, OH",153758,38928
"Corpus Christi, TX",39692,4419
"Dallas, TX",199974,35698
"Davenport, IA",,
"Dayton, OH",105654,45619
"Decatur, IL",,
"Denver, CO",167218,27943
"Des Moines, IA",77423,15550
"Detroit, MI",758772,348986
"Duluth, MN",41479,9790
"Durham, NC",,
"El Paso, TX",44737,5282
"Erie, PA",53677,25604
"Evansville, IN",52325,20741
"Flint, MI",70118,39488
"Fort Wayne, IN",56911,22777
"Fort Worth, TX",117821,28347
"Fresno, CA",,
"Gadsden, AL",,
"Galveston, TX",,
"Grand Rapids, MI",73224,29086
"Green Bay, WI",,
"Greenville, SC",,
"Hamilton, OH",,
"Harrisburg, PA",,
"Hartford, CT",81558,25548
"Houston, TX",252316,51487
"Huntington, WV",,
"Jackson, MI",,
"Jackson, MS",,
"Johnstown, PA",,
"Kalamazoo, MI",,
"Kansas City, MO",203515,45215
"Kenosha, WI",,
"Knoxville, TN",47535,10517
"Lancaster, PA",,
"Lansing, MI",,
"Laredo, TX",,
"Lexington, KY",,
"Lima, OH",,
"Lincoln, NE",,
"Little Rock, AR",43712,5625
"Los Angeles, CA",799596,183064
"Louisville, KY",150503,46834
"Lubbock, TX",,
"Macon, GA",,
"Madison, WI",,
"Manchester, NH",,
"Memphis, TN",165993,33810
"Miami, FL",108784,8707
"Milwaukee, WI",283552,120152
"Minneapolis, MN",231300,56229
"Mobile, AL",47782,7012
"Montgomery, AL",41595,4616
"Muncie, IN",,
"New Haven, CT",67202,23790
"New Orleans, LA",215913,30630
"New York, NY",2376624,916911
"Norfolk, VA",66831,7492
"Oklahoma City, OK",104531,12076
"Omaha, NE",105309,21605
"Orlando, FL",,
"Peoria, IL",48215,18170
"Philadelphia, PA",827243,291312
"Phoenix, AZ",39226,3737
"Pittsburgh, PA",260623,73448
"Pittsfield, MA",,
"Portland, ME",,
"Portland, OR",155370,26963
"Providence, RI",98695,38029
"Pueblo, CO",,
"Racine, WI",,
"Reading, PA",51205,24326
"Richmond, VA",102750,22281
"Roanoke, VA",,
"Rochester, NY",142406,6525
"Rockford, IL",,
"Sacramento, CA",59544,5625
"Saginaw, MI",,
"Salt Lake City, UT",69629,9443
"San Angelo, TX",,
"San Antonio, TX",138849,16210
"San Bernardino, CA",,
"San Diego, CA",106309,16379
"San Francisco, CA",330616,55864
"San Jose, CA",,
"Savannah, GA",45184,9541
"Scranton, PA",46442,12929
"Seattle, WA",190246,35262
"Shreveport, LA",51676,5799
"Sioux City, IA",,
"Sioux Falls, SD",,
"South Bend, IN",52354,26616
"Spokane, WA",60921,8696
"Springfield, IL",,
"Springfield, MA",68031,24996
"Springfield, MO",,
"St. Joseph, MO",,
"St. Louis, MO",366524,124432
"Stockton, CA",,
"Syracuse, NY",92403,31090
"Tacoma, WA",51939,11404
"Tampa, FL",50663,11028
"Terre Haute, IN",,
"Toledo, OH",124976,47745
"Topeka, KS",,
"Trenton, NJ",56395,23353
"Tulsa, OK",77316,13268
"Utica, NY",40518,13905
"Waco, TX",,
"Washington, DC",373490,27381
"Waterloo, IA",,
"Wheeling, WV",,
"Wichita Falls, TX",,
"Wichita, KS",70652,12898
"Wilmington, DE",48276,15949
"Winston-Salem, NC",,
"York, PA",,
"Youngstown, OH",67740,31299
"Columbus, GA",,
"Indianapolis, IN",186468,60508
"Jacksonville, FL",86120,11518
"Nashville, TN",73712,15432
