	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	dlcpop2	dlcpop2	dlcpop2	dlcpop2	dlcpop2	dlcpop2	dlcpop2	dlcpop2	dlcpop2	dlcpop2	dlcpop2	dlcpop2
												
draccld	-0.00982	-0.0416	-0.0416	-0.0365	-0.0365	-0.00922	0.00997	-0.0425	-0.0333	-0.0363	-0.0276	0.00253
	(0.0182)	(0.0273)	(0.0278)	(0.0238)	(0.0238)	(0.0304)	(0.0283)	(0.0487)	(0.0453)	(0.0419)	(0.0438)	(0.0591)
dlpop				0.309***	0.310***	0.234**				0.203	0.227	0.150
				(0.112)	(0.112)	(0.0959)				(0.162)	(0.151)	(0.130)
rcarea		0.0360**	0.0416***	0.0373***	0.0373***	0.0474***		0.0580**	0.0570**	0.0531**	0.0519**	0.0544***
		(0.0139)	(0.0148)	(0.0131)	(0.0132)	(0.00893)		(0.0271)	(0.0246)	(0.0253)	(0.0240)	(0.0192)
Dlincomeh			0.968	1.052	1.105	0.222			1.111	1.051	3.074**	0.502
			(0.709)	(0.659)	(1.205)	(0.788)			(0.764)	(0.764)	(1.444)	(0.793)
Dginih					0.223						8.448	
					(5.015)						(5.904)	
lpop50						-0.0753***						-0.0837
						(0.0250)						(0.0492)
Constant	0.0153	-0.0784**	-0.396*	-0.486**	-0.507	-0.332	-0.0155	-0.150***	-0.507*	-0.517**	-1.351**	-0.451*
	(0.0317)	(0.0325)	(0.230)	(0.215)	(0.486)	(0.226)	(0.0411)	(0.0443)	(0.253)	(0.246)	(0.569)	(0.226)
												
Observations	83	83	83	83	83	83	52	52	52	52	52	52
R-squared		0.046	0.081	0.254	0.254	0.447		0.023	0.145	0.180	0.251	0.373
Robust standard errors in parentheses												
*** p<0.01, ** p<0.05, * p<0.1												
